,auc,eer,threshold
PCA_cosine,0.66292,0.38,0.08296188712120056
PCA_euclidean,0.572588,0.438,-51.74546432495117
Autoencoder_cosine,0.70478,0.34,0.13396671414375305
Autoencoder_euclidean,0.575796,0.446,-21.93400001525879
