,auc,eer,threshold
PCA_cosine,0.6286160000000001,0.402,0.015025191940367222
PCA_euclidean,0.512972,0.492,-13.459824562072754
Autoencoder_cosine,0.49819599999999997,0.502,0.9996728897094727
Autoencoder_euclidean,0.5212,0.49,-9.078092575073242
